# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Feb  1 19:54:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00061788 -1.40000 10.07918 0.0899999961 1.0816895212    0.090 -3.191  3.4693  5.413    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-17      0.00 7.476e-01 2.518e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 12.748 17.921 16.357 14.454 12.685 12.104 11.991
0.00061788 -1.40000 10.07918 0.0979108885 1.1534145244    0.098 -2.969  3.5009  5.354    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.07e-17      0.00 7.463e-01 2.531e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 12.194 17.212 15.152 13.343 12.060 11.603 11.490
0.00061788 -1.40000 10.07918 0.0999999940 1.1711063499    0.100 -2.914  3.5089  5.339    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.459e-01 2.534e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.527e-04 12.055 16.996 14.863 13.087 11.907 11.476 11.363
0.00061788 -1.40000 10.07918 0.1199999973 1.3193154249    0.120 -2.629  3.5405  5.260    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -2e-16      0.00 7.434e-01 2.559e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.527e-04 11.342 15.830 13.604 11.986 11.151 10.804 10.698
0.00061788 -1.40000 10.07918 0.1333705634 1.4015527516    0.133 -2.504  3.5512  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-16      0.00 7.421e-01 2.572e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 11.031 15.325 13.129 11.570 10.828 10.505 10.402
0.00061788 -1.40000 10.07918 0.1400000006 1.4384526719    0.140 -2.447  3.5561  5.208    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-16      0.00 7.415e-01 2.578e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.527e-04 10.888 15.089 12.914 11.384 10.681 10.367 10.266
0.00061788 -1.40000 10.07918 0.1599999964 1.5372931554    0.160 -2.306  3.5664  5.165    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-16      0.00 7.402e-01 2.592e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 10.534 14.532 12.416 10.946 10.319 10.025 9.927
0.00061788 -1.40000 10.07918 0.2000000179 1.6938791367    0.200 -2.084  3.5799  5.095    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-16      0.00 7.389e-01 2.604e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.527e-04 9.980 13.713 11.685 10.302 9.755 9.485 9.393
0.00061788 -1.40000 10.07918 0.2500000000 1.8403257998    0.250 -1.880  3.5910  5.032    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-16      0.00 7.388e-01 2.605e-01 1.174e-04 3.167e-05 2.872e-04 -1.000 6.527e-04 9.470 12.979 11.039 9.734 9.239 8.986 8.899
0.00061788 -1.40000 10.07918 0.3000000417 1.9529140366    0.300 -1.724  3.5995  4.990    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-16      0.00 7.390e-01 2.603e-01 1.173e-04 3.167e-05 2.872e-04 -1.000 6.528e-04 9.081 12.433 10.552 9.307 8.844 8.605 8.522
